village_id,village_name,district,state,latitude,longitude,population,hazard_type,hazard_intensity,disaster_history_score,data_confidence,source_notes,population_note
VLG-011,Lukodiya,Ranchi,Jharkhand,23.36868,85.32486,343,Ground Subsidence,0.4,0.3,HIGH,"Business Jharkhand reporting (Oct 2025) | Approximate location, exact geocoding pending — Ranchi district headquarters coordinate used because the exact Lukodiya village GPS point could not be reliably verified.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-012,Kathal Badi,Sahibganj,Jharkhand,25.23986,87.63258,335,Flood,0.7,0.3,HIGH,"Outlook India field reporting on Sahibganj floods | Approximate location, exact geocoding pending — Sahibganj district headquarters coordinate used because the exact Kathal Badi GPS point could not be reliably verified.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-013,East/West Bokaro Coalfield Belt,Bokaro / Ramgarh,Jharkhand,23.6693,86.1511,1000,Ground Subsidence,0.4,0.3,MEDIUM,"CCL / Wikipedia coalfield pages - flag for direct CCL/JSDMA follow-up | Approximate location, exact geocoding pending — representative coordinate used for the East/West Bokaro coalfield belt spanning Bokaro/Ramgarh. | Approximate location, exact geocoding pending — Bokaro district headquarters coordinate used because the row describes the East/West Bokaro coalfield belt spanning Bokaro/Ramgarh.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-014,Chellanam,Ernakulam,Kerala,9.80721,76.27742,643,Storm Surge,0.75,0.3,HIGH,The News Minute / The South First field reporting | Verified Chellanam village coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-015,Alappad,Kollam,Kerala,9.06269,76.49884,637,Storm Surge,0.75,0.3,HIGH,NCCR coastal defence mapping study (Kollam district survey) | Verified Alappad village coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-016,Valiathura,Thiruvananthapuram,Kerala,8.46453,76.92692,905,Storm Surge,0.75,0.3,HIGH,NCCR National Assessment of Shoreline Changes report | Verified Valiyathura locality coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-017,Poonthura,Thiruvananthapuram,Kerala,8.466,76.95,905,Storm Surge,0.75,0.3,HIGH,Regional coastal-vulnerability field reporting,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-018,Anjuthengu (Anjengo),Thiruvananthapuram,Kerala,8.675045,76.758644,905,Storm Surge,0.75,0.3,HIGH,Field reporting (Medium/coastal-erosion feature) | Verified Anchuthengu/Anjuthengu town coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-019,Varkala,Thiruvananthapuram,Kerala,8.7379,76.7163,905,Storm Surge,0.75,0.3,HIGH,Field reporting (Medium/coastal-erosion feature),"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-020,Kochu Veli,Thiruvananthapuram,Kerala,8.5,76.9,905,Storm Surge,0.75,0.3,HIGH,Field reporting (Medium/coastal-erosion feature),"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-021,Kozhikode Corporation coastal belt,Kozhikode,Kerala,11.2588,75.7804,3290,Storm Surge,0.75,0.3,HIGH,"ICSF / Kozhikode fishermen association reporting | Approximate location, exact geocoding pending — Kozhikode city/district representative coordinate used for the corporation coastal belt.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-022,Ponnani / Tanur coastal belt,Malappuram,Kerala,11.04212,76.08039,2892,Storm Surge,0.75,0.3,HIGH,"Kerala Fisheries Department success-story report | Approximate location, exact geocoding pending — Malappuram district headquarters coordinate used for the Ponnani/Tanur coastal belt.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-023,Kuttanad (below-sea-level belt),Alappuzha,Kerala,9.4981,76.3326,3760,Flood,0.9,0.3,HIGH,"Well-documented geography of Kuttanad region | Approximate location, exact geocoding pending — Alappuzha district headquarters coordinate used for the Kuttanad belt. | Approximate location, exact geocoding pending — Alappuzha district headquarters coordinate used because Kuttanad is a broad below-sea-level belt rather than one point.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-024,Tupul / Makhuam (Marangjing camp),Noney,Manipur,24.7842,93.6035,300,Landslide,0.7,0.3,HIGH,"Wikipedia / GSI preliminary report / Down To Earth / SANDRP investigative reporting | Approximate location, exact geocoding pending — Noney/Longmai headquarters coordinate used because the row combines Tupul/Makhuam/Marangjing.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-025,Kambiron,Noney,Manipur,24.727282,93.372696,300,Landslide,0.7,0.3,HIGH,"SANDRP investigative report, July 2022 | Verified Kambiron village coordinate.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-026,Khumji,Noney,Manipur,24.888889,93.606111,300,Landslide,0.7,0.3,HIGH,"SANDRP investigative report, July 2022 | Approximate location, exact geocoding pending — verified Khumji-area government-school coordinate used because a single village-centre coordinate was not available.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-027,Pongringlong,Noney,Manipur,24.79209,93.66663,300,Landslide,0.7,0.3,HIGH,"SANDRP investigative report, July 2022 | Verified Pongringlong/Charoipandongba Kabui village coordinate.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-028,Jiribam-Tamenglong-Noney-Kangpokpi-Imphal West railway corridor,Jiribam,Manipur,24.8,93.12,1000,Landslide,0.3,0.3,HIGH,"Down To Earth 'Himalayan plunder' analysis, 2024 | Approximate location, exact geocoding pending — Jiribam district-headquarters coordinate used for the multi-district railway corridor.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-029,Satabhaya,Kendrapara,Odisha,20.605,86.881,300,Cyclone,0.75,0.3,HIGH,"Multiple field-reporting sources (Down To Earth, Reuters, national press) | Verified/near-site Satabhaya coastal coordinate; exact village centre varies because Satabhaya is a coastal/relocating settlement.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-030,Pentha,Kendrapara,Odisha,20.543611,86.788611,300,Cyclone,0.75,0.3,HIGH,NCCR shoreline change data + regional field reporting | Verified Pentha village coordinate from the Government of India heritage-site record.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-031,"Fulapatana, Harishpur, Naharan, Marichpur, Balipatana, Dhanuhar Belari (coastal Jagatsinghpur villages)",Jagatsinghpur,Odisha,20.25,86.17,388,Cyclone,0.7,0.3,HIGH,"Familypedia/Wikipedia district summary citing 1999 Super Cyclone impact | Approximate location, exact geocoding pending — Jagatsinghpur district-headquarters/representative coordinate used because the row contains multiple villages.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-032,Chooralmala (Meppadi),Wayanad,Kerala,11.5367,76.1362,1450,Landslide,0.95,0.9,HIGH,ISRO Landslide Atlas 2023 & Kerala SDMA July 2024 disaster survey | Verified Meppadi village coordinates,Meppadi Panchayat Disaster Ward Census 2024
VLG-033,Mundakkai (Meppadi),Wayanad,Kerala,11.5431,76.1558,1200,Landslide,0.95,0.85,HIGH,GSI / SDMA field survey on 2024 Wayanad landslide disaster | Verified GPS pin,Panchayat revenue records
VLG-034,Punchirimattam (Meppadi),Wayanad,Kerala,11.554,76.168,450,Landslide,0.95,0.8,HIGH,ISRO / GSI preliminary report on Wayanad debris-flow origin,Local habitation registry
VLG-035,Attamala (Meppadi),Wayanad,Kerala,11.528,76.142,600,Flash Flood,0.85,0.75,HIGH,Kerala Revenue Department landslide vulnerability map 2024,Local habitation registry
VLG-036,Sunil Ward (Joshimath),Chamoli,Uttarakhand,30.5574,79.5678,1800,Ground Subsidence,0.9,0.8,HIGH,USDMA & IIT Roorkee geotechnical survey of Joshimath subsidence crisis (2023),Chamoli District Administration crisis survey
VLG-037,Manohar Bagh (Joshimath),Chamoli,Uttarakhand,30.5545,79.5645,1400,Ground Subsidence,0.85,0.75,HIGH,USDMA / CBRI structural damage index report,Chamoli District Administration survey
VLG-038,Singdhar Ward (Joshimath),Chamoli,Uttarakhand,30.552,79.561,1100,Ground Subsidence,0.9,0.8,HIGH,IIT Roorkee / USDMA technical bulletin,Chamoli District Administration survey
VLG-039,Raini Village,Chamoli,Uttarakhand,30.4858,79.7125,650,Flash Flood,0.95,0.9,HIGH,Wadia Institute of Himalayan Geology & GSI 2021 Chamoli disaster report,Village Panchayat Census
VLG-040,Tapovan,Chamoli,Uttarakhand,30.493,79.6275,850,Flash Flood,0.85,0.85,HIGH,NDRF / USDMA flash flood zone survey,Panchayat Census
VLG-041,Ghoramara Island,South 24 Parganas,West Bengal,21.9167,88.1333,4500,Storm Surge,0.95,0.9,HIGH,"School of Oceanographic Studies, Jadavpur University & NCCR shoreline assessment",Census of India / Sagar Block registry
VLG-042,Mousuni Island,South 24 Parganas,West Bengal,21.5667,88.2333,5200,Storm Surge,0.9,0.85,HIGH,WBDMD / WWF Sundarbans climate vulnerability assessment,Namkhana Block demographic records
VLG-043,Sagar Island (South Coastal Belt),South 24 Parganas,West Bengal,21.65,88.0833,6500,Cyclone,0.85,0.85,HIGH,West Bengal Disaster Management Department bulletin (Post-Amphan/Yaas),Sagar Panchayat Samiti
VLG-044,Manikaran Valley,Kullu,Himachal Pradesh,32.027,77.348,2200,Flash Flood,0.85,0.75,HIGH,HPSDMA Monsoon 2023 disaster damage evaluation report,Kullu District Administration
VLG-045,Thunag,Mandi,Himachal Pradesh,31.545,77.165,1600,Flash Flood,0.9,0.8,HIGH,HPSDMA & Mandi DDMA field survey on 2023 cloudburst disaster,Thunag Tehsil Office records
VLG-046,Pandoh Valley,Mandi,Himachal Pradesh,31.669,77.018,1900,Flood,0.85,0.8,HIGH,HPSDMA Beas river basin vulnerability assessment,Mandi District Administration
VLG-047,Salmora (Majuli Island),Majuli,Assam,26.85,94.2,3200,Flood,0.9,0.9,HIGH,Brahmaputra Board & ASDMA Majuli erosion mitigation report,Majuli District Revenue Census
VLG-048,Jiadhall River Basin (Dhemaji),Dhemaji,Assam,27.4833,94.5833,2800,Flash Flood,0.85,0.85,HIGH,ASDMA Dhemaji flood vulnerability atlas,Dhemaji District Disaster Profile
VLG-049,Longmai Village (Noney),Noney,Manipur,24.78,93.61,1100,Landslide,0.8,0.7,HIGH,SANDRP investigative report / Manipur SDMA,Noney District Administration
VLG-050,Tamenglong Town Slope,Tamenglong,Manipur,24.985,93.492,1600,Landslide,0.8,0.65,HIGH,Manipur SDMA hazard mapping report,Tamenglong Municipal records
VLG-051,Gaurikund Base Camp,Rudraprayag,Uttarakhand,30.65,79.0167,1200,Flash Flood,0.95,0.95,HIGH,NDMA 2013 Kedarnath Post-Disaster Needs Assessment (PDNA) & USDMA survey,Local commercial-residential pilgrimage base population
VLG-052,Sonprayag River Confluence,Rudraprayag,Uttarakhand,30.63,78.998,850,Flash Flood,0.9,0.9,HIGH,USDMA Rudraprayag flood hazard map 2013,Local revenue records
VLG-053,Rajbagh Ward (Srinagar),Srinagar,Jammu and Kashmir,34.07,74.82,4800,Flood,0.9,0.85,HIGH,J&K SDMA & CWC Sept 2014 Flood Inundation Atlas (18-ft peak submersion),Srinagar Municipal Corporation Census
VLG-054,Shivpora Lowland (Srinagar),Srinagar,Jammu and Kashmir,34.062,74.845,3600,Flood,0.85,0.8,HIGH,Irrigation and Flood Control Department J&K report 2014,Municipal ward census
VLG-055,Anantnag Old Town Belt,Anantnag,Jammu and Kashmir,33.731,75.152,5200,Flash Flood,0.85,0.8,HIGH,J&K SDMA district disaster management plan Anantnag,Census of India
VLG-056,Mudichur Suburb,Chengalpattu,Tamil Nadu,12.909,80.091,5800,Flood,0.9,0.9,HIGH,TNDMA & CAG 2015 Chennai Flood Performance Audit,Chengalpattu District Revenue Register
VLG-057,Velachery Lowland Marsh Basin,Chennai,Tamil Nadu,12.98,80.2222,7200,Flood,0.85,0.85,HIGH,Greater Chennai Corporation (GCC) flood vulnerability zonation,GCC Ward Population Census
VLG-058,Tambaram West Flood Basin,Chengalpattu,Tamil Nadu,12.924,80.1278,4600,Flood,0.85,0.8,HIGH,TNDMA South Chennai Flood Management Report,Tambaram Municipal Corporation
VLG-059,Satapada Coastal Habitation,Puri,Odisha,19.67,85.43,3400,Cyclone,0.95,0.95,HIGH,"OSDMA / World Bank Damage, Loss and Needs Assessment (DLNA) for Cyclone Fani",Krushnaprasad Block Revenue Register
VLG-060,Konark Coastal Belt,Puri,Odisha,19.8875,86.0947,4100,Cyclone,0.9,0.9,HIGH,OSDMA Multi-Hazard Vulnerability Atlas,Gop Block Demographic Census
VLG-061,Malin Habitation (Ambegaon),Pune,Maharashtra,19.16,73.69,750,Landslide,0.95,0.95,HIGH,GSI 2014 Malin Disaster Geotechnical Investigation (151 casualties),Ambegaon Tehsil Office
VLG-062,Taliye Village (Mahad),Raigad,Maharashtra,18.01,73.49,680,Landslide,0.95,0.9,HIGH,Maharashtra SDMA July 2021 Monsoon Disaster Bulletin,Mahad Block Revenue Record
VLG-063,Irshalwadi Tribal Settlement,Raigad,Maharashtra,18.91,73.23,420,Landslide,0.95,0.85,HIGH,GSI / Raigad District Administration July 2023 survey,Khalapur Taluka registry
VLG-064,Nirmali Embankment Belt,Supaul,Bihar,26.31,86.6,6200,Flood,0.9,0.95,HIGH,Bihar Disaster Management Department & Water Resources Department annual report,Supaul District Census
VLG-065,Mahishi Riverine Lowlands,Saharsa,Bihar,25.88,86.45,5400,Flood,0.85,0.9,HIGH,BSDMA Kosi Basin Hazard Vulnerability Profile,Saharsa District Administration
VLG-066,Chungthang Valley Habitation,Mangan,Sikkim,27.6,88.65,1500,Flash Flood,0.95,0.9,HIGH,ISRO NRSC & Sikkim SDMA Oct 2023 GLOF Damage Assessment Report,Mangan District Revenue Census
VLG-067,Singtam Lowland Belt,Gangtok,Sikkim,27.23,88.49,2400,Flash Flood,0.9,0.85,HIGH,Sikkim Disaster Management Authority field bulletin,Singtam Nagar Panchayat
VLG-068,Jafarabad Coastal Settlement,Amreli,Gujarat,20.87,71.37,4200,Cyclone,0.9,0.85,HIGH,GSDMA & IMD Post-Cyclone Tauktae Report (185 kmph landfall),Amreli District Revenue Office
VLG-069,Mandvi Port Coastal Belt,Kutch,Gujarat,22.83,69.35,5100,Cyclone,0.9,0.85,HIGH,GSDMA Kutch Coastal Vulnerability Assessment 2023,Mandvi Taluka Panchayat
VLG-070,Ajit Singh Nagar (Vijayawada),NTR,Andhra Pradesh,16.54,80.64,7600,Flood,0.9,0.85,HIGH,APSDMA Sept 2024 Vijayawada Flood Situation Report (3.5 lakh displaced),Vijayawada Municipal Corporation
VLG-071,Bapatla Lowland Coastal Belt,Bapatla,Andhra Pradesh,15.9,80.47,3800,Cyclone,0.85,0.85,HIGH,APSDMA Coastal Hazard Mitigation Project,Bapatla Revenue Division
VLG-072,Prayagraj Sangam Flood Lowlands (Bagambari/Chhota Baghada),Prayagraj,Uttar Pradesh,25.4358,81.8463,6800,Flood,0.92,0.9,HIGH,UP State Disaster Management Authority (UPSDMA) Flood Vulnerability Map 2024,Prayagraj District Administration
VLG-073,Dabra & Gwalior Chambal River Basin,Gwalior,Madhya Pradesh,25.9,78.33,5200,Flash Flood,0.95,0.88,HIGH,Google Flood Hub & MPSDMA River Inundation Alert 2026,Gwalior District Disaster Management Authority
VLG-074,Barpeta Town & Kazi Nazrul Ghat Basin,Barpeta,Assam,26.32,91.0,5900,Flood,0.94,0.92,HIGH,ASDMA Assam State Flood Bulletin 2026 (Active Inundation),Barpeta District Revenue Office
